Категория;Сложность;Вопрос;Варианты_ответов
Физика;Сложный;Как называется состояние вещества, в котором атомы теряют свои электроны и образуется смесь ионов и электронов?;[Плазма, Конденсат Бозе‑Эйнштейна, Сверхтекучесть, Фермионный газ]
Физика;Сложный;Какая частица не имеет массы?;[Фотон, Электрон, Протон, Нейтрон]
Физика;Сложный;Что такое суперпозиция?;[Сложение волн, Разложение волн, Умножение волн, Деление волн]
Физика;Сложный;Какой закон описывает электромагнитную индукцию?;[Закон Фарадея, Закон Ома, Закон Кирхгофа, Закон Ампера]
Химия;Легкий;Какой газ поддерживает горение?;[Кислород, Азот, Водород, Углекислый]
Химия;Легкий;pH воды равен?;[7, 5, 9, 10]
Химия;Легкий;Какой металл жидкий при комнатной температуре?;[Ртуть, Свинец, Олово, Цинк]
Химия;Легкий;Кто создал периодическую таблицу?;[Менделеев, Бойль, Дальтон, Авогадро]
Химия;Средний;Сколько элементов в таблице Менделеева?;[118, 100, 120, 115]
Химия;Средний;Что такое изотоп?;[Вариант элемента, Вариант молекулы, Вариант атома, Вариант иона]
Химия;Средний;Какой газ самый лёгкий?;[Водород, Гелий, Азот, Кислород]
Химия;Средний;Что такое окисление?;[Потеря электронов, Приобретение электронов, Потеря протонов, Приобретение протонов]
Химия;Средний;Какой металл самый твёрдый?;[Хром, Железо, Медь, Алюминий]
Химия;Сложный;Кто открыл радиоактивность?;[Мария Кюри, Альберт Эйнштейн, Нильс Бор, Вернер Гейзенберг]
Химия;Сложный;Что такое аллотропия?;[Разные формы одного элемента, Разные элементы, Разные молекулы, Разные ионы]
Химия;Сложный;Какой элемент имеет символ Au?;[Золото, Серебро, Медь, Железо]
Химия;Сложный;Что такое катализатор?;[Вещество ускоряет реакцию, Вещество замедляет реакцию, Вещество не влияет, Вещество останавливает]
Химия;Сложный;Какой элемент самый электроотрицательный?;[Фтор, Хлор, Кислород, Азот]
Биология;Легкий;Сколько хромосом у человека?;[46, 23, 48, 44]
Биология;Легкий;Какая клетка самая большая?;[Яйцеклетка, Нейрон, Эритроцит, Лейкоцит]
Биология;Легкий;Что такое ДНК?;[Носитель генетической информации, Белок, Липид, Углевод]
Биология;Легкий;Сколько камер у сердца человека?;[4, 2, 3, 5]
Биология;Легкий;Кто открыл структуру ДНК?;[Уотсон и Крик, Мендель, Дарвин, Мечников]
Биология;Средний;Как называется процесс деления клетки?;[Митоз, Мейоз, Фагоцитоз, Осмос]
Биология;Средний;Какая ткань соединяет мышцы с костями?;[Сухожилие, Связка, Хрящ, Кость]
Биология;Средний;Сколько костей в теле взрослого человека?;[206, 200, 210, 215]
Биология;Средний;Какой орган фильтрует кровь?;[Почки, Печень, Сердце, Лёгкие]
Биология;Средний;Что такое фотосинтез?;[Процесс создания пищи растениями, Процесс дыхания, Процесс роста, Процесс размножения]
Биология;Сложный;Кто считается отцом генетики?;[Грегор Мендель, Чарльз Дарвин, Луи Пастер, Роберт Кох]
Биология;Сложный;Какая клетка производит антитела?;[B-лимфоциты, T-лимфоциты, Эритроциты, Тромбоциты]
Биология;Сложный;Что такое митохондрия?;[Энергетическая станция клетки, Ядро клетки, Рибосома, Лизосома]
Биология;Сложный;Какой гормон регулирует уровень сахара?;[Инсулин, Адреналин, Тестостерон, Эстроген]
Биология;Сложный;Сколько пар хромосом у человека?;[23, 46, 22, 24]
Спорт;Легкий;Сколько игроков в футбольной команде на поле?;[11, 10, 12, 9]
Спорт;Легкий;В каком виде спорта используется мяч?;[Футбол, Бокс, Плавание, Лыжи]
Спорт;Легкий;Где проходили первые Олимпийские игры?;[Афины, Рим, Париж, Лондон]
Спорт;Легкий;Сколько колец на олимпийском флаге?;[5, 6, 4, 7]
Спорт;Легкий;Кто держит рекорд по золотым медалям на Олимпиадах?;[Майкл Фелпс, Усэйн Болт, Лариса Латынина, Карл Льюис]
Спорт;Средний;В каком году Россия принимала Чемпионат мира по футболу?;[2018, 2014, 2022, 2010]
Спорт;Средний;Сколько минут в футбольном матче?;[90, 80, 100, 70]
Спорт;Средний;Какой спорт называют королём спорта?;[Футбол, Бокс, Лёгкая атлетика, Плавание]
Спорт;Средний;Где проходили Олимпийские игры 2008?;[Пекин, Лондон, Рио, Токио]
Спорт;Средний;Сколько очков за 3-очковый бросок в баскетболе?;[3, 2, 1, 4]
Спорт;Сложный;Кто держит рекорд по голам в карьере?;[Криштиану Роналду, Лионель Месси, Пеле, Марадона]
Спорт;Сложный;В каком году Россия принимала Олимпиаду?;[2014, 2018, 2012, 2016]
Спорт;Сложный;Какой вид спорта самый популярный в мире?;[Футбол, Баскетбол, Теннис, Крикет]
Спорт;Сложный;Сколько очков в теннисном сете?;[6, 5, 7, 4]
Спорт;Сложный;Кто выиграл больше всего «Золотых мячей»?;[Лионель Месси, Криштиану Роналду, Йохан Кройф, Мишель Платини]
Технологии;Легкий;Что означает аббревиатура WWW?;[World Wide Web, World Web Wide, Wide World Web, Web World Wide]
Технологии;Легкий;Кто основал Microsoft?;[Билл Гейтс, Стив Джобс, Илон Маск, Марк Цукерберг]
Технологии;Легкий;Какая операционная система от Apple?;[iOS, Android, Windows, Linux]
Технологии;Легкий;Что означает HTML?;[HyperText Markup Language, HighText Machine Language, HyperText Machine Language, HyperTool Markup Language]
Технологии;Легкий;Кто изобрел World Wide Web?;[Тим Бернерс-Ли, Билл Гейтс, Стив Джобс, Винт Серф]
Технологии;Средний;Какой чип используется в iPhone?;[A-серия, Snapdragon, Exynos, Kirin]
Технологии;Средний;Что такое блокчейн?;[Технология распределённого реестра, База данных, Облачное хранилище, Сервер]
Технологии;Лёгкий; Что означает аббревиатура Wi‑Fi?;[Wireless Fidelity, Wireless File, Wide Fidelity, Wireless Frequency]
Технологии;Средний; Что такое искусственный интеллект (ИИ)?;[Система, имитирующая человеческое мышление, Программа для обработки текста, Вид компьютерной сети, Тип процессора]
Технологии;Сложный; Какой алгоритм используется для шифрования данных в блокчейне?;[SHA‑256, RSA, AES, DES]
Технологии;Сложный; Что означает термин «нейронная сеть» в контексте ИИ?;[Математическая модель, имитирующая работу мозга, Сеть компьютеров, Вид базы данных, Протокол передачи данных]
Технологии;Сложный; Какая технология используется для создания виртуальных миров с эффектом погружения?;[VR (виртуальная реальность), AR (дополненная реальность), MR (смешанная реальность), 3D‑моделирование]
Технологии;Сложный; Что такое DevOps?;[Методология разработки и эксплуатации ПО, Язык программирования, Вид сервера, Сетевой протокол]
Технологии;Сложный; Какой тип памяти сохраняет данные даже при отключении питания?;[ROM, RAM, Cache, VRAM]
Технологии;Сложный; Что такое контейнеризация (в IT)?;[Технология упаковки и запуска приложений в изолированных средах, Вид облачного хранилища, Метод шифрования данных, Тип сетевого подключения]
Технологии;Сложный; Какой протокол используется для передачи электронной почты?;[SMTP, FTP, HTTP, SSH]
Технологии;Сложный; Что такое edge computing?;[Обработка данных ближе к источнику их создания, Вид облачной архитектуры, Метод шифрования, Тип процессора]
Технологии;Сложный; Какая технология позволяет создавать физические объекты из цифровых моделей?;[3D‑печать, Лазерная резка, ЧПУ‑обработка, Робототехника]
Технологии;Средний; Какой протокол используется для безопасной передачи данных в интернете?;[HTTPS, HTTP, FTP, SMTP]
Технологии;Средний; Что означает термин «биг дата» (Big Data)?;[Большие объёмы данных, Вид базы данных, Тип сервера, Метод шифрования]
Технологии;Средний; Какая технология лежит в основе криптовалют?;[Блокчейн, Облачные вычисления, Виртуальная реальность, Машинное обучение]
Технологии;Средний; Что такое IoT?;[Интернет вещей, Интернет организаций, Интерфейс операционных систем, Интегрированная операционная технология]
Технологии;Средний; Какой язык программирования чаще всего используется для создания мобильных приложений под Android?;[Java, Swift, C#, PHP]
Технологии;Средний; Что такое VPN?;[Виртуальная частная сеть, Вид облачного хранилища, Тип процессора, Протокол передачи данных]
Технологии;Средний; Как называется процесс восстановления данных после сбоя?;[Резервное копирование, Шифрование, Компиляция, Индексация]
Технологии;Средний; Что такое API?;[Интерфейс программирования приложений, Алгоритм передачи информации, Протокол аутентификации, Вид облачного сервиса]
Технологии;Средний; Какое устройство отвечает за обработку графики в компьютере?;[Видеокарта, Процессор, Оперативная память, Жёсткий диск]
Технологии;Лёгкий; Какое устройство используется для ввода текста в компьютер?;[Клавиатура, Мышь, Монитор, Принтер]
Технологии;Лёгкий; Какая компания создала операционную систему Windows?;[Microsoft, Apple, Google, IBM]
Технологии;Лёгкий; Как называется основной «мозг» компьютера, отвечающий за вычисления?;[Процессор, Видеокарта, Оперативная память, Жёсткий диск]
Технологии;Лёгкий; Какой формат файла обычно используется для изображений?;[JPEG, MP3, DOCX, PDF]
Технологии;Лёгкий; Что такое URL?;[Адрес веб‑страницы, Тип файла, Вид браузера, Сетевой протокол]
Технологии;Лёгкий; Какое устройство преобразует цифровую информацию в печатный вид?;[Принтер, Сканер, Монитор, Модем]
Технологии;Лёгкий; Какая технология позволяет подключать устройства без проводов на коротком расстоянии?;[Bluetooth, Ethernet, USB, HDMI]
Технологии;Лёгкий; Что такое облако (в контексте технологий)?;[Сервис хранения данных онлайн, Вид программного обеспечения, Тип процессора, Сетевая архитектура]
Технологии;Лёгкий; Какой язык программирования часто используется для веб‑разработки?;[JavaScript, C++, Python, SQL]
Технологии;Средний;Какая версия Windows самая популярная?;[Windows 10, Windows 7, Windows 11, Windows XP]
Технологии;Средний;Кто изобрёл транзистор?;[Бардин, Браттейн и Шокли, Эдисон, Тесла, Маркони]
Технологии;Средний;Что означает API?;[Application Programming Interface, Advanced Programming Interface, Application Process Interface, Advanced Process Interface]
Технологии;Сложный;Что это: Одна переменная не должна иметь несколько имён, ты либо имени даёшь полное владение данными, либо их клонируешь, либо явно передаёшь ссылку;[Концепция владения в языке rust, Принцип работы сборщика мусора в C#, Описание работы глобальных переменных, Концепция владения в языке Python]
Технологии;Сложный;Кто создал язык программирования Python?;[Гвидо ван Россум, Линус Торвальдс, Бьян Струструп, Джеймс Гослинг]
Технологии;Сложный;Что означает HTTP?;[HyperText Transfer Protocol, HighText Transfer Protocol, HyperText Transmission Protocol, HighText Transmission Protocol]
Технологии;Сложный;Какая компания владеет Android?;[Google, Apple, Microsoft, Samsung]
Технологии;Сложный;Что такое облачные вычисления?;[Использование удалённых серверов, Использование локальных серверов, Использование мобильных устройств, Использование спутников]
Технологии;Сложный;Кто создал Linux?;[Линус Торвальдс, Гвидо ван Россум, Бьян Струструп, Джеймс Гослинг]
География;Легкий;Столица Японии?;[Токио, Киото, Осака, Йокогама]
География;Легкий;Самая длинная река в Африке?;[Нил, Конго, Нигер, Замбези]
География;Легкий;Самый большой остров в мире?;[Гренландия, Австралия, Новая Гвинея, Борнео]
География;Легкий;Столица Германии?;[Берлин, Мюнхен, Гамбург, Франкфурт]
География;Легкий;Сколько континентов на Земле?;[6, 5, 7, 4]
География;Средний;Самая глубокая точка океана?;[Марианская впадина, Желоб Пуэрто-Рико, Желоб Тонга, Желоб Филиппин]
География;Средний;В какой стране находится Мачу-Пикчу?;[Перу, Боливия, Чили, Эквадор]
География;Средний;Самая большая страна по площади?;[Россия, Канада, Китай, США]
География;Средний;Столица Канады?;[Оттава, Торонто, Ванкувер, Монреаль]
География;Средний;Где находится остров Пасхи?;[Тихий океан, Атлантический океан, Индийский океан, Северный Ледовитый океан]
География;Сложный;Самый высокий водопад в мире?;[Анхель, Виктория, Игуасу, Ниагарский]
География;Сложный;В какой стране находится пустыня Атакама?;[Чили, Аргентина, Перу, Боливия]
География;Сложный;Столица Австралии?;[Канберра, Сидней, Мельбурн, Брисбен]
География;Сложный;Самый большой полуостров в мире?;[Аравийский, Индостан, Скандинавский, Аляска]
География;Сложный;Какая страна имеет больше всего озёр?;[Канада, Россия, Финляндия, США]
История;Легкий;В каком году закончилась Вторая мировая война?;[1945, 1941, 1939, 1950]
История;Легкий;Кто был первым императором Китая?;[Цинь Шихуанди, Конфуций, Чанг-ди, Ван-ди]
История;Легкий;В каком году началась Великая французская революция?;[1789, 1776, 1812, 1799]
История;Легкий;Кто открыл Америку?;[Христофор Колумб, Фернан Магеллан, Джеймс Кук, Васко да Гама]
История;Легкий;В каком году была изобретена бумага?;[II век до н.э., I век до н.э., II век н.э., I век н.э.]
История;Средний;Кто построил Вавилонскую башню?;[Согласно Библии, люди, Бог, Ангелы, Демон]
История;Средний;В каком году пала Константинополь?;[1453, 1492, 1204, 1380]
История;Средний;Кто был первым императором Рима?;[Октавиан Август, Юлий Цезарь, Нерон, Каллигула]
История;Средний;В каком году началась Столетняя война?;[1337, 1453, 1214, 1066]
История;Средний;Кто был лидером Советского Союза во время Второй мировой войны?;[Иосиф Сталин, Владимир Ленин, Никита Хрущёв, Леонид Брежнев]
История;Сложный;В каком году была принята Декларация независимости США?;[1776, 1789, 1812, 1775]
История;Сложный;Кто был первым канцлером объединённой Германии?;[Отто фон Бисмарк, Вильгельм II, Гитлер, Шрёдер]
История;Сложный;В каком году произошла Революция в России?;[1917, 1905, 1922, 1914]
История;Сложный;Кто был первым императором Византии?;[Константин I, Юстиниан I, Феодосий I, Юлиан]
История;Сложный;В каком году была отменена крепостное право в России?;[1861, 1855, 1870, 1881]
Наука;Легкий;Что такое H2O?;[Вода, Кислород, Водород, Углекислый газ]
Наука;Легкий;Сколько планет в Солнечной системе?;[8, 9, 7, 10]
Наука;Легкий;Какой газ преобладает в атмосфере Земли?;[Азот, Кислород, Углекислый газ, Аргон]
Наука;Легкий;Сколько зубов у взрослого человека?;[32, 30, 28, 34]
Наука;Легкий;Что такое лазер?;[Усиление света, Излучение света, Поглощение света, Отражение света]
Наука;Средний;Сколько костей в теле взрослого человека?;[206, 200, 210, 215]
Наука;Средний;Какой орган вырабатывает инсулин?;[Поджелудочная железа, Печень, Почки, Сердце]
Наука;Средний;Сколько пар хромосом у человека?;[23, 46, 22, 24]
Наука;Средний;Что такое гравитация?;[Сила притяжения, Сила отталкивания, Сила трения, Сила инерции]
Наука;Средний;Какой металл самый лёгкий?;[Литий, Алюминий, Магний, Натрий]
Наука;Сложный;Кто открыл радиоактивность?;[Мария Кюри, Альберт Эйнштейн, Нильс Бор, Вернер Гейзенберг]
Наука;Сложный;Что такое чёрная дыра?;[Область с сильной гравитацией, Звезда, Планета, Галактика]
Наука;Сложный;Какая частица не имеет массы?;[Фотон, Электрон, Протон, Нейтрон]
Наука;Сложный;Что такое квант?;[Минимальная порция энергии, Максимальная порция, Средняя порция, Средняя скорость]
Наука;Сложный;Какой закон описывает электромагнитную индукцию?;[Закон Фарадея, Закон Ома, Закон Кирхгофа, Закон Ампера]
Литература;Легкий;Кто написал «Гарри Поттера»?;[Дж. К. Роулинг, Стивен Кинг, Джордж Мартин, Лев Толстой]
Литература;Легкий;Кто написал «Мастер и Маргарита»?;[Михаил Булгаков, Александр Блок, Андрей Белый, Владимир Набоков]
Литература;Легкий;Кто написал «Войну и мир»?;[Лев Толстой, Фёдор Достоевский, Антон Чехов, Иван Тургенев]
Литература;Легкий;Кто написал «Преступление и наказание»?;[Фёдор Достоевский, Лев Толстой, Антон Чехов, Иван Тургенев]
Литература;Легкий;Кто написал «Анну Каренину»?;[Лев Толстой, Фёдор Достоевский, Антон Чехов, Иван Тургенев]
Литература;Средний;Кто написал «Божественную комедию»?;[Данте, Петрарка, Боккаччо, Гомер]
Литература;Средний;Кто написал «Гамлета»?;[Уильям Шекспир, Кристофер Марло, Джон Милтон, Джон Донн]
Литература;Средний;Кто написал «1984»?;[Джордж Оруэлл, Рэй Брэдбери, Герберт Уэллс, Айзек Азимов]
Литература;Средний;Кто написал «Великий Гэтсби»?;[Фрэнсис Скотт Фицджеральд, Эрнест Хемингуэй, Джон Стейнбек, Уильям Фолкнер]
Литература;Средний;Кто написал «Мёртвые души»?;[Николай Гоголь, Михаил Булгаков, Александр Пушкин, Иван Тургенев]
Литература;Сложный;Кто написал «Братья Карамазовы»?;[Фёдор Достоевский, Лев Толстой, Антон Чехов, Иван Тургенев]
Литература;Сложный;Кто написал «Войну миров»?;[Герберт Уэллс, Рэй Брэдбери, Артур Кларк, Айзек Азимов]
Литература;Сложный;Кто написал «Портрет Дориана Грея»?;[Оскар Уайльд, Артур Конан Дойл, Редьярд Киплинг, Томас Харди]
Литература;Сложный;Кто написал «Улисс»?;[Джеймс Джойс, Вирджиния Вулф, Т. С. Элиот, Д. Х. Лоуренс]
Литература;Сложный;Кто написал «Сто лет одиночества»?;[Габриэль Гарсиа Маркес, Хорхе Луис Борхес, Марио Варгас Льоса, Пабло Неруда]
Литература;Сложный;Какой писатель считается основоположником детективного жанра?;[Эдгар Аллан По, Артур Конан Дойл, Агата Кристи, Уилки Коллинз]
Литература;Сложный;Кто автор пьесы «В ожидании Годо»?;[Сэмюэль Беккет, Эжен Ионеско, Жан-Поль Сартр, Фридрих Дюрренматт]
Литература;Сложный;Какое произведение начинается фразой «Все счастливые семьи похожи друг на друга…»?;[«Анна Каренина», «Война и мир», «Братья Карамазовы», «Отцы и дети»]
Искусство;Легкий;Кто написал «Мона Лизу»?;[Леонардо да Винчи, Микеланджело, Рафаэль, Донателло]
Литература;Лёгкий; Как зовут главного героя романа «Преступление и наказание»?;[Родион Раскольников, Евгений Онегин, Пьер Безухов, Григорий Печорин]
Литература;Средний; Как называется цикл рассказов Тургенева, в который входит «Бежин луг»?;[«Записки охотника», «Миргород», «Вечера на хуторе близ Диканьки», «Петербургские повести»]
Литература;Средний; Какой герой Лермонтова носит на себе «печать проклятия»?;[Печорин, Демон, Мцыри, Арбенин]
Литература;Средний; В каком произведении Гоголя фигурирует Чичиков?;[«Мёртвые души», «Ревизор», «Шинель», «Тарас Бульба»]
Литература;Средний; Кто написал пьесу «Вишнёвый сад»?;[Антон Чехов, Максим Горький, Александр Островский, Лев Толстой]
Литература;Средний; Какое произведение Пушкина посвящено Пугачёвскому восстанию?;[«Капитанская дочка», «Дубровский», «Повести Белкина», «Борис Годунов»]
Литература;Средний; Кто из героев «Войны и мира» произносит фразу «Надо жить, надо любить, надо верить»?;[Пьер Безухов, Андрей Болконский, Наташа Ростова, Марья Болконская]
Литература;Средний; Как зовут героиню романа Тургенева «Дворянское гнездо»?;[Лиза Калитина, Елена Стахова, Ася, Анна Одинцова]
Литература;Средний; Кто автор стихотворения «Парус»?;[Михаил Лермонтов, Александр Пушкин, Фёдор Тютчев, Василий Жуковский]
Литература;Средний; В каком жанре написано произведение Гоголя «Шинель»?;[Повесть, Рассказ, Роман, Новелла]
Литература;Сложный; Кто является прототипом образа Базарова в романе «Отцы и дети»?;[Николай Добролюбов, Виссарион Белинский, Александр Герцен, Дмитрий Писарев]
Литература;Сложный; В каком году был впервые опубликован роман Достоевского «Преступление и наказание»?;[1866, 1868, 1870, 1864]
Литература;Сложный; Какой литературный приём используется в названии романа «Война и мир»?;[Антитеза, Метафора, Гипербола, Олицетворение]
Литература;Сложный; Кто из русских писателей был осуждён на каторгу за участие в кружке Петрашевского?;[Фёдор Достоевский, Михаил Салтыков‑Щедрин, Николай Некрасов, Иван Тургенев]
Литература;Сложный; Как называется поэма Блока, посвящённая революции 1917 года?;[«Двенадцать», «Скифы», «Возмездие», «Балаганчик»]
Литература;Сложный; Какое произведение Булгакова имеет подзаголовок «Роман о дьяволе»?;[«Мастер и Маргарита», «Белая гвардия», «Собачье сердце», «Роковые яйца»]
Литература;Сложный; Кто написал повесть «Котлован»?;[Андрей Платонов, Михаил Булгаков, Евгений Замятин, Борис Пастернак]
Литература;Сложный; Какой поэт является представителем акмеизма?;[Анна Ахматова, Александр Блок, Владимир Маяковский, Сергей Есенин]
Литература;Сложный; В каком произведении Салтыкова‑Щедрина фигурирует город Глупов?;[«История одного города», «Господа Головлёвы», «Пошехонская старина», «Дикий помещик»]
Литература;Сложный; Кто автор романа «Доктор Живаго»?;[Борис Пастернак, Михаил Шолохов, Александр Фадеев, Константин Симонов]
Литература;Лёгкий; Кто автор сказки «Золотой ключик, или Приключения Буратино»?;[Алексей Толстой, Корней Чуковский, Самуил Маршак, Николай Носов]
Литература;Лёгкий; Какое произведение начинается словами «Мой дядя самых честных правил…»?;[«Евгений Онегин», «Мёртвые души», «Герой нашего времени», «Горе от ума»]
Литература;Лёгкий; Кто написал стихотворение «Я помню чудное мгновенье…»?;[Александр Пушкин, Михаил Лермонтов, Фёдор Тютчев, Афанасий Фет]
Литература;Лёгкий; Как звали собаку в рассказе Чехова «Каштанка»?;[Каштанка, Белка, Стрелка, Жучка]
Литература;Лёгкий; Какой жанр у произведения «Ревизор» Гоголя?;[Комедия, Трагедия, Повесть, Роман]
Литература;Лёгкий; Кто такой Балда в сказке Пушкина?;[Работник, Царь, Солдат, Волшебник]
Литература;Лёгкий; В какой сказке есть персонаж Кощей Бессмертный?;[«Царевна‑лягушка», «Гуси‑лебеди», «Колобок», «Теремок»]
Литература;Лёгкий; Кто написал «Муму»?;[Иван Тургенев, Лев Толстой, Антон Чехов, Максим Горький]
Искусство;Легкий;В каком музее находится «Мона Лиза»?;[Лувр, Эрмитаж, Метрополитен, Прадо]
Искусство;Лёгкий;Кто создал скульптуру «Давид»?;[Микеланджело, Леонардо да Винчи, Рафаэль, Донателло]
Искусство;Лёгкий;Какой цвет получается при смешении красного и жёлтого?;[Оранжевый, Зелёный, Фиолетовый, Коричневый]
Искусство;Лёгкий;Как называется картина с изображением природы?;[Пейзаж, Портрет, Натюрморт, Абстракция]
Искусство;Лёгкий;Какой инструмент чаще всего используют для рисования?;[Карандаш, Кисть, Фломастер, Мел]
Искусство;Лёгкий;Как называется искусство создания объёмных произведений из камня, дерева или металла?;[Скульптура, Живопись, Графика, Архитектура]
Искусство;Легкий;Кто написал «Ночь над звёздным небом»?;[Ван Гог, Пикассо, Дали, Моне]
Искусство;Легкий;В каком стиле работал Пикассо?;[Кубизм, Реализм, Импрессионизм, Романтизм]
Искусство;Легкий;Кто написал «Четыре времени года»?;[Вивальди, Бах, Моцарт, Бетховен]
Искусство;Средний;Где находится Сикстинская капелла?;[Ватикан, Флоренция, Рим, Венеция]
Искусство;Средний;Кто написал «Девушку с жемчужной серёжкой»?;[Ян Вермеер, Рембрандт, Франс Халс, Питер Пауль Рубенс]
Искусство;Средний;Кто написал картину «Поцелуй»?;[Густав Климт, Эдвард Мунк, Поль Гоген, Винсент Ван Гог]
Искусство;Средний;В каком архитектурном стиле построен собор Парижской Богоматери?;[Готика, Романский, Барокко, Классицизм]
Искусство;Средний;Кто создал скульптуру «Мыслитель»?;[Огюст Роден, Антонио Канова, Микеланджело, Альберто Джакометти]
Искусство;Средний;Какой художник известен своими «водяными лилиями»?;[Клод Моне, Эдгар Дега, Пьер-Огюст Ренуар, Эдуард Мане]
Искусство;Средний;Как называется техника живописи водяными красками?;[Акварель, Масло, Гуашь, Темпера]
Искусство;Средний;Кто написал «Крик»?;[Эдвард Мунк, Густав Климт, Поль Гоген, Винсент Ван Гог]
Искусство;Средний;Кто написал «Гернику»?;[Пабло Пикассо, Сальвадор Дали, Жоан Миро, Виллем де Кунинг]
Искусство;Средний;Кто написал «Последний суд»?;[Микеланджело, Леонардо да Винчи, Рафаэль, Донателло]
Искусство;Сложный;Кто написал «Звёздную ночь над Роной»?;[Винсент Ван Гог, Поль Гоген, Клод Моне, Огюст Ренуар]
Искусство;Сложный;Кто написал «Девушку с веером»?;[Пьер Огюст Ренуар, Клод Моне, Эдуард Мане, Гюстав Курбе]
Искусство;Сложный;Кто написал «Сон»?;[Пабло Пикассо, Сальвадор Дали, Жоан Миро, Марк Шагал]
Искусство;Сложный;Кто написал «Постоянство памяти»?;[Сальвадор Дали, Рене Магритт, Макс Эрнст, Жоан Миро]
Искусство;Сложный;Кто создал фреску «Сотворение Адама» в Сикстинской капелле?;[Микеланджело, Рафаэль, Леонардо да Винчи, Боттичелли]
Искусство;Сложный;Кто написал картину «Олимпия»?;[Эдуард Мане, Клод Моне, Пьер-Огюст Ренуар, Эдгар Дега]
Искусство;Сложный;Кто является основоположником супрематизма?;[Казимир Малевич, Василий Кандинский, Пабло Пикассо, Сальвадор Дали]
Искусство;Сложный;Как называется стиль, в котором предметы изображаются в виде геометрических форм?;[Кубизм, Сюрреализм, Импрессионизм, Экспрессионизм]
Искусство;Сложный;Кто создал картину «Авиньонские девицы»?;[Пабло Пикассо, Жорж Брак, Фернан Леже, Хуан Грис]
Искусство;Сложный;Кто написал «Венеру Милосскую»?;[Александр из Антиохии, Микеланджело, Леонардо да Винчи, Рафаэль]
Музыка;Легкий;Сколько струн у гитары?;[6, 5, 7, 4]
Музыка;Легкий;Какой инструмент имеет клавиши?;[Фортепиано, Скрипка, Гитара, Труба]
Музыка;Легкий;Кто написал «Лунную сонату»?;[Бетховен, Моцарт, Бах, Шопен]
Музыка;Легкий;Сколько нот в диатонической гамме?;[7, 8, 6, 5]
Музыка;Легкий;Какой инструмент самый большой в оркестре?;[Контрабас, Виолончель, Скрипка, Флейта]
Музыка;Средний;Кто основал группу The Beatles?;[Джон Леннон, Пол Маккартни, Джордж Харрисон, Ринго Старр]
Музыка;Средний;В каком году вышел альбом «Thriller» Майкла Джексона?;[1982, 1985, 1980, 1988]
Музыка;Средний;Кто написал «Четыре времени года»?;[Вивальди, Бах, Моцарт, Бетховен]
Музыка;Средний;Сколько голосов в оперном квартете?;[4, 3, 5, 2]
Музыка;Средний;Какой музыкальный инструмент называется «король инструментов»?;[Орган, Фортепиано, Скрипка, Труба]
Музыка;Сложный;Кто написал симфонию №9 «Хоровая»?;[Бетховен, Моцарт, Брамс, Шуберт]
Музыка;Сложный;Кто написал «Времена года»?;[Вивальди, Бах, Гендель, Перголези]
Музыка;Сложный;Кто написал «Клятвопреступление»?;[Джузеппе Верди, Джакомо Пуччини, Риккардо Зандонаи, Амилкаре Понкьелли]
Музыка;Сложный;Кто написал «Свадьбу Фигаро»?;[Моцарт, Гайдн, Бетховен, Шуберт]
Музыка;Сложный;Кто написал «Кармен»?;[Жорж Бизе, Шарль Гуно, Джакомо Пуччини, Рихард Вагнер]
Кино;Легкий;Кто сыграл Джека в «Титанике»?;[Леонардо Ди Каприо, Брэд Питт, Том Круз, Джонни Депп]
Кино;Легкий;Как называется первая часть «Звёздных войн»?;[Эпизод IV, Эпизод I, Эпизод II, Эпизод III]
Кино;Легкий;Кто режиссёр «Крёстного отца»?;[Фрэнсис Форд Коппола, Стивен Спилберг, Мартин Скорсезе, Квентин Тарантино]
Кино;Легкий;Сколько «Оскаров» получил «Титаник»?;[11, 10, 9, 12]
Кино;Легкий;Кто снял фильм «Криминальное чтиво»?;[Квентин Тарантино, Гай Ричи, Дэвид Финчер, Райан Джонсон]
Кино;Средний;В каком году вышел первый «Звёздный путь» фильм?;[1979, 1975, 1982, 1985]
Кино;Средний;Кто сыграл Гарри Поттера в фильмах?;[Дэниел Рэдклифф, Руперт Гринт, Том Фелтон, Эмма Уотсон]
Кино;Средний;Кто режиссёр фильма «Начало»?;[Кристофер Нолан, Джеймс Кэмерон, Питер Джексон, Джордж Лукас]
Кино;Средний;В каком году вышел первый фильм «Матрица»?;[1999, 1997, 2001, 1995]
Кино;Средний;Кто сыграл Железного человека?;[Роберт Дауни мл., Крис Эванс, Марк Руффало, Крис Хемсворт]
Кино;Сложный;Кто снял фильм «Апокалипсис сегодня»?;[Фрэнсис Форд Коппола, Стивен Спилберг, Джордж Лукас, Мартин Скорсезе]
Кино;Сложный;Кто снял фильм «2001 год: Космическая одиссея»?;[Стэнли Кубрик, Альфред Хичкок, Фрэнсис Форд Коппола, Стивен Спилберг]
Кино;Сложный;Кто снял фильм «Паразиты»?;[Пон Джун-хо, Акира Куросава, Ким Ки Дук, Ли Чхан Дон]
Кино;Сложный;Кто снял фильм «Бойцовский клуб»?;[Дэвид Финчер, Тодд Филд, Терри Гиллиам, Майкл Бэй]
